FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
EA19LORSGPORGYSAM,"Leading Indicators OECD: Reference series: Gross Domestic Product (GDP): Original series for the Euro Area, Growth rate same period previous year, Monthly, Seasonally Adjusted"
,
Frequency: Monthly,
observation_date,EA19LORSGPORGYSAM
1961-03-01,6.2193527548973300
1961-04-01,6.1572723000269300
1961-05-01,6.0994825953356800
1961-06-01,6.0597106612561200
1961-07-01,6.0417158046103300
1961-08-01,6.0433918938896200
1961-09-01,6.0584784347728200
1961-10-01,6.0761336160090400
1961-11-01,6.0864046064781900
1961-12-01,6.0851017759214200
1962-01-01,6.0788302649766200
1962-02-01,6.0769734015381900
1962-03-01,6.0838336674440800
1962-04-01,6.0903063791242200
1962-05-01,6.0790378343356700
1962-06-01,6.0296776013103500
1962-07-01,5.9257622749806200
1962-08-01,5.7535026044351900
1962-09-01,5.5053741720297500
1962-10-01,5.1816916588922400
1962-11-01,4.8020423112694100
1962-12-01,4.4147698623259000
1963-01-01,4.1042514316033000
1963-02-01,3.9566466916581000
1963-03-01,4.0157741663063900
1963-04-01,4.2551501105807600
1963-05-01,4.6060950972242400
1963-06-01,4.9984174687450700
1963-07-01,5.3898403360137000
1963-08-01,5.7629902003862200
1963-09-01,6.1189796678388200
1963-10-01,6.4686118142356700
1963-11-01,6.8135091270237800
1963-12-01,7.1241615806835600
1964-01-01,7.3244223978602000
1964-02-01,7.3292779485841900
1964-03-01,7.0975169033148500
1964-04-01,6.6659083438786400
1964-05-01,6.1214426607523100
1964-06-01,5.5577730257593500
1964-07-01,5.0456134011389700
1964-08-01,4.6306081455011800
1964-09-01,4.3315814593114900
1964-10-01,4.1429998464344700
1964-11-01,4.0457013008737400
1964-12-01,4.0201505769362400
1965-01-01,4.0574281930312300
1965-02-01,4.1522184189996800
1965-03-01,4.2955071632762800
1965-04-01,4.4662449947344600
1965-05-01,4.6391756902048300
1965-06-01,4.7936008985172600
1965-07-01,4.9217602932276800
1965-08-01,5.0223074701758400
1965-09-01,5.0954570380010200
1965-10-01,5.1399846233983300
1965-11-01,5.1544727325665000
1965-12-01,5.1404966199256600
1966-01-01,5.1015536010075800
1966-02-01,5.0440655399292900
1966-03-01,4.9743062605227500
1966-04-01,4.9002611051591800
1966-05-01,4.8250426942707500
1966-06-01,4.7438745988647300
1966-07-01,4.6405038120659800
1966-08-01,4.4980174781760300
1966-09-01,4.3100623912479300
1966-10-01,4.0940431339933800
1966-11-01,3.8765606884020200
1966-12-01,3.6805295337604600
1967-01-01,3.5144750302852200
1967-02-01,3.3805863332155700
1967-03-01,3.2822272892068900
1967-04-01,3.2258281206011700
1967-05-01,3.2220952834188900
1967-06-01,3.2814146122032900
1967-07-01,3.4091240356421200
1967-08-01,3.6029957612002600
1967-09-01,3.8496420882242800
1967-10-01,4.1166713533943200
1967-11-01,4.3645840274392400
1967-12-01,4.5580704794935000
1968-01-01,4.6798258057782500
1968-02-01,4.7323620543344400
1968-03-01,4.7452463212368000
1968-04-01,4.7746294709750600
1968-05-01,4.8810685372901200
1968-06-01,5.0949010593583500
1968-07-01,5.4000788847668700
1968-08-01,5.7499491825709700
1968-09-01,6.0997524578863800
1968-10-01,6.4240499638658200
1968-11-01,6.7192572655258000
1968-12-01,6.9949537762837300
1969-01-01,7.2659922562081200
1969-02-01,7.5358984832291800
1969-03-01,7.7798277681523700
1969-04-01,7.9394800164758000
1969-05-01,7.9487529499304900
1969-06-01,7.7765643622750500
1969-07-01,7.4477078799674700
